name,position,year,round
K. Räikkönen,7,2001,13
F. Alonso,,2001,13
M. Schumacher,1,2001,14
M. Häkkinen,4,2001,14
K. Räikkönen,,2001,14
F. Alonso,,2001,14
M. Schumacher,4,2001,15
K. Räikkönen,7,2001,15
F. Alonso,13,2001,15
M. Häkkinen,,2001,15
M. Häkkinen,1,2001,16
M. Schumacher,2,2001,16
F. Alonso,,2001,16
K. Räikkönen,,2001,16
M. Schumacher,1,2001,17
M. Häkkinen,4,2001,17
F. Alonso,11,2001,17
K. Räikkönen,,2001,17
M. Schumacher,1,2000,1
M. Häkkinen,,2000,1
M. Schumacher,1,2000,2
M. Häkkinen,,2000,2
M. Schumacher,1,2000,3
M. Häkkinen,2,2000,3
M. Häkkinen,2,2000,4
M. Schumacher,3,2000,4
M. Häkkinen,1,2000,5
M. Schumacher,5,2000,5
M. Schumacher,1,2000,6
M. Häkkinen,2,2000,6
M. Häkkinen,6,2000,7
M. Schumacher,,2000,7
M. Schumacher,1,2000,8
M. Häkkinen,4,2000,8
M. Häkkinen,2,2000,9
M. Schumacher,,2000,9
M. Häkkinen,1,2000,10
M. Schumacher,,2000,10
M. Häkkinen,2,2000,11
M. Schumacher,,2000,11
M. Häkkinen,1,2000,12
M. Schumacher,2,2000,12
M. Häkkinen,1,2000,13
M. Schumacher,2,2000,13
M. Schumacher,1,2000,14
M. Häkkinen,2,2000,14
M. Schumacher,1,2000,15
M. Häkkinen,,2000,15
M. Schumacher,1,2000,16
M. Häkkinen,2,2000,16
M. Schumacher,1,2000,17
M. Häkkinen,4,2000,17
M. Schumacher,8,1999,1
M. Häkkinen,,1999,1
D. Hill,,1999,1
M. Häkkinen,1,1999,2
M. Schumacher,2,1999,2
D. Hill,,1999,2
M. Schumacher,1,1999,3
D. Hill,4,1999,3
M. Häkkinen,,1999,3
M. Schumacher,1,1999,4
M. Häkkinen,3,1999,4
D. Hill,,1999,4
M. Häkkinen,1,1999,5
M. Schumacher,3,1999,5
D. Hill,7,1999,5
M. Häkkinen,1,1999,6
M. Schumacher,,1999,6
D. Hill,,1999,6
M. Häkkinen,2,1999,7
M. Schumacher,5,1999,7
D. Hill,,1999,7
D. Hill,5,1999,8
M. Häkkinen,,1999,8
M. Schumacher,,1999,8
M. Häkkinen,3,1999,9
D. Hill,8,1999,9
M. Häkkinen,,1999,10
D. Hill,,1999,10
M. Häkkinen,1,1999,11
D. Hill,6,1999,11
M. Häkkinen,2,1999,12
D. Hill,6,1999,12
D. Hill,10,1999,13
M. Häkkinen,,1999,13
M. Häkkinen,5,1999,14
D. Hill,,1999,14
M. Schumacher,2,1999,15
M. Häkkinen,3,1999,15
D. Hill,,1999,15
M. Häkkinen,1,1999,16
M. Schumacher,2,1999,16
D. Hill,,1999,16
M. Häkkinen,1,1998,1
D. Hill,8,1998,1
M. Schumacher,,1998,1
M. Häkkinen,1,1998,2
M. Schumacher,3,1998,2
D. Hill,,1998,2
M. Schumacher,1,1998,3
M. Häkkinen,2,1998,3
